"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","knowledge_score","antibiotic_knowledge","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","attitude_score","attitude_knowledge","Q23","Q24","Q25","Q26","Q27","Q28","practice_score","practice_knowledge","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49"
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,0,1,1,0,0,1,1,1,0,1,1,66.6666666666667,"Moderate",1,1,1,1,1,1,1,1,1,0,90,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,100,"Good",0,1,0,0,1,0,0,1,1,0,40,"Negative",0,1,1,0,0,1,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,0,1,1,0,0,1,1,1,1,1,0,66.6666666666667,"Moderate",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",1,0,0,0,0,0,0,0,1,1,NA,NA,30,"Poor",0,0,1,1,0,0,1,0,1,0,40,"Negative",1,1,1,1,0,1,83.3333333333333,"GOOD",1,1,0,0,0,0,0,0,0
"25–35","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Often",1,1,1,0,0,0,1,1,1,1,0,0,58.3333333333333,"Moderate",0,1,1,0,1,1,1,1,1,0,70,"Uncertain",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,1,0,0
"36–45","Female","Primary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9",">= 3","Mother","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,0,50,"Uncertain",0,1,1,0,0,0,33.3333333333333,"Misuse",1,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,NA,NA,0,0,0,0,NA,1,0,1,NA,37.5,"Poor",1,0,1,1,0,0,1,0,1,0,50,"Uncertain",0,1,1,0,1,0,50,"Misuse",1,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,0,0,1,1,1,1,NA,1,81.8181818181818,"Good",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,NA,NA,1,1,1,0,1,1,1,1,1,90,"Good",1,1,0,1,1,0,1,1,1,0,70,"Uncertain",1,1,1,0,1,1,83.3333333333333,"GOOD",0,1,0,0,0,0,0,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",1,1,1,1,0,0,0,1,1,1,1,NA,72.7272727272727,"Moderate",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,0,0,1,66.6666666666667,"Misuse",0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,NA,NA,1,0,1,0,1,1,1,1,1,80,"Good",1,1,1,1,0,1,1,0,1,0,70,"Uncertain",0,1,1,0,1,0,50,"Misuse",1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,0,1,0,1,1,1,1,NA,81.8181818181818,"Good",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,0,1,1,83.3333333333333,"GOOD",0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,NA,NA,1,0,1,0,1,0,1,1,1,70,"Moderate",1,1,1,1,0,0,1,0,1,0,60,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",1,NA,NA,1,0,0,1,NA,1,1,1,NA,75,"Moderate",1,1,1,1,1,1,0,1,1,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,NA,NA,1,0,0,1,1,0,1,NA,0,55.5555555555556,"Moderate",1,1,1,0,1,1,0,1,1,0,70,"Uncertain",1,0,1,1,1,0,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",NA,NA,NA,1,NA,0,0,1,1,1,NA,0,57.1428571428571,"Moderate",1,1,0,1,0,0,0,1,1,0,50,"Uncertain",0,0,1,1,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,1,1,0
"25–35","Female","Undergraduate","Self employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",1,1,1,1,NA,NA,NA,1,1,NA,0,0,75,"Moderate",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","1","Mother","Never",NA,NA,NA,1,NA,0,1,1,1,1,1,1,87.5,"Good",0,1,1,1,0,0,0,1,1,0,50,"Uncertain",1,1,1,1,1,1,100,"GOOD",0,1,0,0,1,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Often",NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,66.6666666666667,"Moderate",1,1,1,1,1,1,1,1,0,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,0,0,0,0,0,1,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",NA,1,NA,0,0,0,0,1,1,0,NA,1,44.4444444444444,"Poor",1,1,1,1,1,0,0,1,1,0,70,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes",1,1,1,1,1,NA,1,1,1,0,1,1,90.9090909090909,"Good",0,0,0,1,0,0,1,1,1,1,50,"Uncertain",0,1,1,0,0,1,50,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",NA,NA,NA,1,NA,0,0,NA,1,0,0,1,42.8571428571429,"Poor",0,1,0,1,0,0,0,1,1,1,50,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,NA,NA,1,0,1,1,1,1,1,1,0,80,"Good",1,1,0,1,0,0,1,1,1,1,70,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Father","Never",0,NA,NA,0,0,0,0,NA,1,0,0,0,11.1111111111111,"Poor",0,1,0,1,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,NA,NA,1,0,0,1,1,1,0,1,1,70,"Moderate",1,1,0,1,0,0,1,1,1,0,60,"Uncertain",0,1,1,1,1,1,83.3333333333333,"GOOD",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Self employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,1,0,NA,1,0,1,NA,30,"Poor",1,1,1,0,0,0,0,0,0,0,30,"Negative",0,0,0,0,0,0,0,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",NA,NA,NA,0,NA,1,0,1,1,NA,NA,NA,60,"Moderate",1,1,0,1,0,0,1,0,0,1,50,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",NA,NA,NA,1,NA,0,1,1,1,1,NA,0,71.4285714285714,"Moderate",1,1,0,1,0,1,0,0,1,0,50,"Uncertain",1,0,1,1,1,1,83.3333333333333,"GOOD",0,0,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",NA,NA,NA,1,NA,1,1,1,1,1,NA,1,100,"Good",1,1,0,1,0,1,1,1,1,0,70,"Uncertain",1,0,1,1,1,1,83.3333333333333,"GOOD",0,1,0,0,0,0,1,1,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,0,1,0,0,1,1,1,NA,1,NA,70,"Moderate",1,1,1,0,0,0,1,1,1,0,60,"Uncertain",1,0,1,1,1,1,83.3333333333333,"GOOD",0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,NA,NA,1,0,0,1,1,1,NA,1,NA,75,"Moderate",1,1,1,0,1,1,1,1,1,0,80,"Positive",1,1,1,1,1,1,100,"GOOD",0,1,0,0,0,0,1,0,0
"> 45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",NA,1,1,1,0,0,0,1,1,1,1,1,72.7272727272727,"Moderate",1,1,1,1,0,0,0,1,1,0,60,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",1,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,NA,1,1,1,0,0,1,1,1,1,1,81.8181818181818,"Good",1,1,1,0,1,0,1,1,1,0,70,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",1,1,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",1,NA,NA,1,1,0,1,0,0,1,1,0,60,"Moderate",1,1,1,1,1,0,1,1,1,1,90,"Positive",1,0,0,1,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",NA,NA,0,1,NA,1,0,1,1,0,NA,1,62.5,"Moderate",1,1,1,0,0,0,1,0,1,0,50,"Uncertain",0,1,1,0,0,0,33.3333333333333,"Misuse",0,1,1,0,1,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,NA,NA,1,0,1,0,1,1,1,0,1,70,"Moderate",1,1,1,1,1,0,1,1,1,0,80,"Positive",0,1,1,1,0,1,66.6666666666667,"Misuse",0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",NA,NA,NA,1,NA,0,1,0,NA,NA,0,1,50,"Moderate",1,1,1,1,1,1,1,1,1,0,90,"Positive",0,1,1,1,0,0,50,"Misuse",0,1,1,0,0,0,0,0,0
"> 45","Female","Primary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",NA,NA,0,1,NA,NA,0,1,1,1,NA,NA,66.6666666666667,"Moderate",1,1,1,1,1,0,1,1,1,0,80,"Positive",0,1,1,0,0,0,33.3333333333333,"Misuse",0,1,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,NA,1,1,0,0,0,1,1,0,0,1,54.5454545454545,"Moderate",1,1,1,1,0,0,0,0,1,0,50,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",NA,NA,NA,1,NA,1,0,NA,1,NA,1,0,66.6666666666667,"Moderate",1,1,0,1,0,0,0,1,1,1,60,"Uncertain",0,0,1,0,1,1,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,NA,NA,1,0,1,1,1,1,1,NA,NA,87.5,"Good",1,1,0,1,0,0,1,1,1,0,60,"Uncertain",1,0,1,0,1,1,66.6666666666667,"Misuse",0,0,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,NA,NA,0,0,1,0,NA,1,1,1,0,55.5555555555556,"Moderate",1,1,0,1,0,0,1,0,1,0,50,"Uncertain",0,1,1,0,0,0,33.3333333333333,"Misuse",0,0,1,0,0,0,0,0,1
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,1,1,0,0,1,0,NA,1,1,1,0,63.6363636363636,"Moderate",1,1,0,1,0,0,1,1,1,0,60,"Uncertain",0,1,0,0,0,1,33.3333333333333,"Misuse",1,1,1,0,1,0,0,0,0
"> 45","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",NA,NA,1,1,0,1,0,1,1,1,NA,NA,75,"Moderate",1,1,1,1,1,0,1,1,1,0,80,"Positive",0,1,1,0,0,0,33.3333333333333,"Misuse",0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,NA,NA,1,1,0,0,1,0,NA,1,1,66.6666666666667,"Moderate",1,1,1,1,0,0,1,1,1,0,70,"Uncertain",1,1,1,1,1,0,83.3333333333333,"GOOD",0,1,1,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,NA,NA,1,0,0,1,NA,1,1,NA,NA,71.4285714285714,"Moderate",0,0,1,0,1,1,0,0,0,0,30,"Negative",1,1,0,1,0,0,50,"Misuse",0,1,0,0,0,0,1,1,1
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",NA,NA,NA,1,NA,0,1,1,1,NA,NA,NA,80,"Good",1,1,0,1,1,1,1,1,1,0,80,"Positive",1,0,1,1,1,0,66.6666666666667,"Misuse",0,0,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",NA,NA,1,1,NA,0,0,NA,1,1,1,1,75,"Moderate",1,1,1,1,1,1,1,1,1,0,90,"Positive",0,1,1,1,1,0,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",NA,0,NA,0,NA,0,0,0,0,0,NA,NA,0,"Poor",0,1,1,1,0,0,0,0,0,0,30,"Negative",0,0,0,1,0,1,33.3333333333333,"Misuse",0,0,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Always",1,NA,1,1,0,1,0,NA,1,0,NA,0,55.5555555555556,"Moderate",1,1,1,1,1,1,1,1,1,1,100,"Positive",0,0,1,1,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Always",1,NA,1,1,0,1,0,0,1,0,0,1,54.5454545454545,"Moderate",1,1,1,1,1,1,1,0,1,0,80,"Positive",0,1,1,1,1,0,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,NA,NA,1,0,1,0,NA,1,1,0,0,55.5555555555556,"Moderate",1,0,1,1,1,1,1,0,1,0,70,"Uncertain",0,1,1,1,0,1,66.6666666666667,"Misuse",1,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",1,NA,1,1,0,1,1,NA,1,1,1,1,90,"Good",1,1,1,0,1,1,1,0,1,0,70,"Uncertain",0,1,1,1,1,1,83.3333333333333,"GOOD",1,1,1,0,0,0,1,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,100,"Good",1,0,1,0,0,0,1,1,1,0,50,"Uncertain",1,0,0,1,1,0,50,"Misuse",0,1,0,0,1,0,1,1,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",NA,1,1,0,NA,0,1,0,0,1,1,1,60,"Moderate",1,0,0,1,0,0,0,1,0,0,30,"Negative",1,1,0,0,0,1,50,"Misuse",1,0,1,0,0,1,1,1,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,100,"Good",0,1,0,0,0,0,1,1,0,0,30,"Negative",1,0,1,1,0,1,66.6666666666667,"Misuse",1,0,0,0,0,1,1,1,0
"36–45","Female","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",1,1,1,1,NA,1,0,NA,NA,1,1,1,88.8888888888889,"Good",0,0,1,0,0,0,0,1,0,0,20,"Negative",1,0,1,0,0,0,33.3333333333333,"Misuse",1,1,1,0,0,1,1,1,0
"25–35","Male","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",NA,NA,1,1,NA,0,1,1,1,1,1,NA,87.5,"Good",1,1,1,1,0,0,1,1,0,0,60,"Uncertain",1,1,1,0,0,0,50,"Misuse",1,1,1,0,1,1,1,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Sometimes",1,NA,NA,1,NA,NA,0,1,1,1,1,1,87.5,"Good",0,1,1,0,0,0,1,0,0,0,30,"Negative",0,0,1,0,0,1,33.3333333333333,"Misuse",1,0,1,0,0,1,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,NA,NA,1,NA,1,0,NA,1,1,0,NA,71.4285714285714,"Moderate",1,1,1,1,1,1,1,0,0,1,80,"Positive",0,1,1,1,1,1,83.3333333333333,"GOOD",0,1,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,NA,NA,1,1,0,0,NA,1,1,1,0,66.6666666666667,"Moderate",1,1,1,0,0,1,0,1,1,0,60,"Uncertain",0,1,1,1,1,0,66.6666666666667,"Misuse",0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,NA,NA,1,1,1,0,0,1,0,0,NA,55.5555555555556,"Moderate",1,1,1,1,0,0,1,1,1,0,70,"Uncertain",0,1,1,0,0,1,50,"Misuse",1,1,0,0,0,0,1,0,0
"36–45","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Sometimes",1,NA,NA,0,0,0,0,NA,1,1,1,NA,50,"Moderate",0,0,1,0,0,0,1,1,1,0,40,"Negative",0,1,1,1,0,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",NA,NA,NA,1,NA,0,0,NA,0,0,1,0,28.5714285714286,"Poor",1,1,1,1,1,1,1,0,1,0,80,"Positive",0,1,1,1,1,1,83.3333333333333,"GOOD",0,1,1,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",0,NA,NA,1,0,1,0,NA,1,1,1,NA,62.5,"Moderate",1,1,0,0,0,0,1,1,1,0,50,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Sometimes",NA,NA,NA,NA,NA,1,0,NA,1,1,0,1,66.6666666666667,"Moderate",1,1,0,0,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",NA,0,0,1,NA,1,0,NA,1,NA,1,NA,57.1428571428571,"Moderate",1,0,0,0,0,0,0,0,1,1,30,"Negative",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"> 45","Male","Postgraduate","Self employed","Extended family","High (greater than 50000 BDT)","Female","> 10","2","Father","Never",1,1,1,1,1,0,0,NA,1,1,NA,0,70,"Moderate",1,1,1,0,0,0,0,1,1,1,60,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Primary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10",">= 3","Father","Sometimes",NA,NA,0,1,NA,NA,1,NA,1,NA,NA,NA,75,"Moderate",1,0,0,1,0,0,0,1,1,1,50,"Uncertain",0,1,1,0,0,1,50,"Misuse",0,1,0,0,0,0,0,0,0
"> 45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10",">= 3","Mother","Never",1,1,1,0,1,NA,0,NA,1,1,NA,NA,75,"Moderate",1,0,0,1,0,0,0,1,1,0,40,"Negative",0,1,1,0,0,1,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,50,"Moderate",1,0,0,1,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,0,0,33.3333333333333,"Misuse",0,1,0,0,0,0,0,0,0
"< 25","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",1,NA,NA,NA,0,1,0,NA,1,1,NA,1,71.4285714285714,"Moderate",1,0,0,1,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,NA,NA,1,1,0,0,NA,1,1,0,NA,50,"Moderate",1,1,0,1,0,0,1,1,1,1,70,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,NA,NA,1,0,0,0,1,1,1,1,0,50,"Moderate",1,0,1,1,0,0,1,1,1,0,60,"Uncertain",0,1,1,0,1,0,50,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",0,NA,NA,1,0,1,0,1,1,1,NA,0,55.5555555555556,"Moderate",1,0,1,1,0,0,1,0,1,0,50,"Uncertain",0,1,1,0,0,0,33.3333333333333,"Misuse",0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",0,NA,NA,NA,1,0,0,NA,1,1,NA,0,42.8571428571429,"Poor",1,1,1,1,0,0,1,0,1,1,70,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","< 5","1","Father","Never",0,0,0,1,NA,0,1,0,1,1,NA,1,50,"Moderate",1,1,1,1,0,0,1,1,1,1,80,"Positive",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"< 25","Female","Undergraduate","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",0,NA,NA,NA,1,0,1,NA,1,1,NA,0,57.1428571428571,"Moderate",1,0,1,1,1,1,1,1,1,0,80,"Positive",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",1,NA,NA,NA,NA,1,0,NA,1,1,NA,NA,80,"Good",1,0,0,1,0,0,1,1,1,0,50,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,NA,NA,1,0,1,0,NA,1,1,NA,0,50,"Moderate",1,1,0,1,0,0,1,1,1,1,70,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,0,1,0,1,1,NA,1,1,NA,0,50,"Moderate",1,1,1,1,0,0,1,1,1,0,70,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Sometimes",1,1,1,1,1,0,1,NA,1,1,NA,0,80,"Good",1,0,0,1,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,1,1,1,1,0,0,1,1,1,NA,0,72.7272727272727,"Moderate",1,0,0,1,0,0,1,1,1,1,60,"Uncertain",0,1,1,0,1,1,66.6666666666667,"Misuse",0,1,0,0,0,0,0,0,0
